Order Date,Region,State,City,Category,Sub-Category,Sales,Profit,Quantity,Customer Name,Segment
13-01-2023,South,Georgia,Atlanta,Technology,Phones,1887.72,486.78,4,Andrew Smith,Corporate
13-01-2023,Central,Wisconsin,Green Bay,Technology,Machines,704.49,257.17,5,Richard Thomas,Corporate
14-01-2023,East,Ohio,Columbus,Furniture,Furnishings,1457.63,189.21,8,Donald Gonzalez,Consumer
14-01-2023,West,Oregon,Portland,Office Supplies,Appliances,130.37,14.44,2,Anthony Johnson,Home Office
14-01-2023,South,Georgia,Columbus,Furniture,Furnishings,349.69,124.71,1,Mark Hernandez,Consumer
14-01-2023,Central,Wisconsin,Madison,Office Supplies,Appliances,261.63,27.49,3,David Miller,Consumer
14-01-2023,Central,Michigan,Detroit,Furniture,Tables,594.21,195.39,1,Joseph Wilson,Home Office
14-01-2023,South,Virginia,Virginia Beach,Technology,Copiers,3282.54,946.95,5,Mark Brown,Consumer
14-01-2023,East,Pennsylvania,Allentown,Furniture,Furnishings,1283.24,195.24,3,Anthony Martin,Corporate
14-01-2023,Central,Wisconsin,Green Bay,Office Supplies,Storage,153.95,48.15,4,Andrew Martin,Consumer
14-01-2023,South,Georgia,Columbus,Office Supplies,Appliances,246.18,56.1,2,Andrew Wilson,Home Office
14-01-2023,Central,Texas,Houston,Technology,Phones,1946.59,645.78,2,Steven Lopez,Home Office
15-01-2023,South,Florida,Jacksonville,Office Supplies,Appliances,24.87,4.36,2,Joshua Jackson,Corporate
15-01-2023,East,Ohio,Columbus,Office Supplies,Storage,259.87,90.01,2,Mary Johnson,Home Office
15-01-2023,East,New Jersey,Paterson,Technology,Phones,205.31,-30.59,3,Anthony Moore,Home Office
15-01-2023,South,Florida,Miami,Office Supplies,Storage,388.95,61.8,6,Donald Johnson,Corporate
15-01-2023,Central,Indiana,Evansville,Furniture,Bookcases,471.75,214.94,1,Matthew Hernandez,Corporate
15-01-2023,East,Ohio,Columbus,Office Supplies,Appliances,599.63,265.51,5,Matthew Davis,Consumer
16-01-2023,West,Colorado,Colorado Springs,Furniture,Bookcases,347.35,97.44,4,Jane Anderson,Corporate
16-01-2023,Central,Illinois,Chicago,Technology,Machines,3295.26,-566.8,6,Jane Taylor,Consumer
16-01-2023,West,Oregon,Salem,Furniture,Tables,2518.14,1023.62,8,Thomas Jackson,Corporate
16-01-2023,Central,Michigan,Warren,Office Supplies,Binders,315.26,108.41,8,Andrew Jackson,Consumer
16-01-2023,East,Pennsylvania,Pittsburgh,Office Supplies,Art,98.73,26.82,2,Richard Rodriguez,Corporate
16-01-2023,Central,Indiana,Evansville,Furniture,Bookcases,1244.39,469.4,6,Thomas Rodriguez,Home Office
16-01-2023,East,New Jersey,Jersey City,Office Supplies,Appliances,78.52,-13.48,1,John Smith,Consumer
16-01-2023,Central,Michigan,Detroit,Furniture,Furnishings,165.58,38.2,2,Joseph Brown,Home Office
16-01-2023,South,Georgia,Augusta,Technology,Copiers,486.33,131.68,2,Mary Gonzalez,Consumer
16-01-2023,Central,Texas,Dallas,Office Supplies,Paper,459.26,216.41,6,Richard Martinez,Corporate
17-01-2023,East,Massachusetts,Boston,Technology,Copiers,1962.97,867.57,4,Anthony Taylor,Consumer
17-01-2023,West,Oregon,Eugene,Technology,Machines,469.22,109.14,1,Thomas Hernandez,Corporate
17-01-2023,East,New York,New York City,Office Supplies,Binders,587.5,134.18,5,Daniel Martin,Home Office
17-01-2023,Central,Wisconsin,Milwaukee,Furniture,Furnishings,286.53,128.44,1,Jane Lopez,Consumer
17-01-2023,West,Washington,Spokane,Office Supplies,Paper,313.21,52.96,4,Jane Martin,Home Office
17-01-2023,West,Colorado,Aurora,Office Supplies,Storage,102.06,21.92,4,Mark Miller,Consumer
18-01-2023,East,New Jersey,Jersey City,Office Supplies,Appliances,75.14,35.53,1,David Taylor,Corporate
18-01-2023,West,California,San Diego,Office Supplies,Appliances,719.55,96.04,6,David Brown,Corporate
18-01-2023,Central,Wisconsin,Milwaukee,Office Supplies,Envelopes,357.31,105.53,5,Richard Jones,Corporate
18-01-2023,South,North Carolina,Greensboro,Furniture,Furnishings,1433.85,519.73,3,Andrew Davis,Consumer
18-01-2023,East,Massachusetts,Worcester,Office Supplies,Paper,334.06,145.78,4,Joshua Gonzalez,Corporate
18-01-2023,East,Massachusetts,Boston,Technology,Machines,1614.9,233.49,5,Joseph Martin,Home Office
18-01-2023,Central,Indiana,Indianapolis,Office Supplies,Storage,1662.3,344.22,14,William Anderson,Corporate
18-01-2023,South,North Carolina,Greensboro,Furniture,Furnishings,1597.54,314.48,8,David Garcia,Corporate
19-01-2023,West,Colorado,Colorado Springs,Technology,Machines,405.78,202.86,8,John Jones,Corporate
19-01-2023,South,Georgia,Atlanta,Furniture,Chairs,268.61,46.76,2,Joseph Hernandez,Corporate
19-01-2023,Central,Illinois,Aurora,Furniture,Bookcases,2099.98,522.04,4,David Lopez,Consumer
19-01-2023,Central,Wisconsin,Milwaukee,Furniture,Tables,356.65,121.2,3,Daniel Taylor,Home Office
19-01-2023,East,New Jersey,Newark,Office Supplies,Art,222.7,111.28,3,John Jones,Home Office
19-01-2023,South,Tennessee,Nashville,Furniture,Bookcases,2241.07,366.75,5,Thomas Williams,Home Office
19-01-2023,East,Massachusetts,Boston,Furniture,Bookcases,215.27,62.69,1,Richard Thomas,Home Office
19-01-2023,East,Ohio,Cincinnati,Technology,Phones,1591.93,346.96,3,Joseph Johnson,Corporate
19-01-2023,Central,Illinois,Aurora,Technology,Machines,4913.36,646.97,7,Mary Smith,Corporate
19-01-2023,West,Washington,Spokane,Office Supplies,Storage,114.31,39.1,1,Mary Garcia,Consumer
20-01-2023,South,Georgia,Atlanta,Technology,Phones,3146.28,1236.43,14,William Rodriguez,Home Office
20-01-2023,Central,Indiana,Indianapolis,Office Supplies,Paper,556.2,214.17,4,William Taylor,Consumer
20-01-2023,South,North Carolina,Raleigh,Office Supplies,Art,68.46,-9.65,1,David Johnson,Consumer
20-01-2023,South,North Carolina,Charlotte,Technology,Accessories,2054.46,716.12,5,Matthew Miller,Consumer
21-01-2023,South,Georgia,Columbus,Technology,Machines,2127.83,560.77,6,Steven Taylor,Consumer
21-01-2023,East,New Jersey,Paterson,Office Supplies,Binders,184.2,22.22,8,Anthony Johnson,Consumer
21-01-2023,Central,Texas,San Antonio,Office Supplies,Art,281.52,-31.46,3,David Garcia,Home Office
21-01-2023,West,Washington,Spokane,Technology,Machines,1921.94,503.39,4,David Lopez,Consumer
21-01-2023,West,Colorado,Denver,Furniture,Chairs,513.99,-51.79,1,Richard Taylor,Corporate
21-01-2023,East,New York,Rochester,Office Supplies,Envelopes,271.34,73.78,2,Mary Jones,Corporate
21-01-2023,East,New York,Buffalo,Office Supplies,Envelopes,17.7,5.74,1,Thomas Lopez,Corporate
21-01-2023,East,New Jersey,Newark,Office Supplies,Binders,72.97,11.93,1,Mark Smith,Corporate
21-01-2023,Central,Wisconsin,Milwaukee,Office Supplies,Storage,75.03,32.07,6,Joshua Williams,Consumer
21-01-2023,South,Virginia,Norfolk,Technology,Phones,4362.19,1813.72,6,Robert Thomas,Consumer
21-01-2023,South,North Carolina,Greensboro,Office Supplies,Appliances,157.41,-29.5,2,David Jackson,Home Office
21-01-2023,South,Tennessee,Knoxville,Furniture,Chairs,1076.73,393.62,2,Christopher Taylor,Home Office
21-01-2023,East,New York,Rochester,Office Supplies,Art,205.06,86.23,4,Jane Johnson,Corporate
21-01-2023,Central,Indiana,Evansville,Technology,Phones,1516.4,555.21,3,Joshua Hernandez,Home Office
21-01-2023,Central,Wisconsin,Green Bay,Office Supplies,Appliances,579.18,111.19,9,Robert Miller,Consumer
21-01-2023,South,North Carolina,Charlotte,Furniture,Furnishings,1619.08,303.03,6,Andrew Jones,Corporate
21-01-2023,Central,Texas,Dallas,Office Supplies,Art,236.25,62.66,4,Jane Johnson,Corporate
22-01-2023,East,Ohio,Columbus,Technology,Copiers,1876.17,259.67,2,Andrew Martinez,Consumer
22-01-2023,Central,Texas,Houston,Technology,Accessories,1529.18,615.88,2,William Rodriguez,Home Office
22-01-2023,East,New Jersey,Newark,Technology,Phones,1725.01,541.17,2,Charles Williams,Home Office
22-01-2023,West,Arizona,Mesa,Office Supplies,Binders,40.87,6.78,1,Mark Johnson,Consumer
22-01-2023,South,Georgia,Columbus,Furniture,Bookcases,861.6,394.9,4,Matthew Lopez,Corporate
22-01-2023,South,North Carolina,Greensboro,Technology,Accessories,3640.92,1655.87,14,Joshua Hernandez,Corporate
22-01-2023,East,New York,Buffalo,Technology,Machines,2631.82,1151.15,5,Steven Davis,Consumer
22-01-2023,West,Colorado,Aurora,Furniture,Furnishings,2349.96,894.27,7,Joseph Moore,Home Office
22-01-2023,Central,Indiana,Evansville,Furniture,Furnishings,1506.13,356.55,6,Thomas Williams,Home Office
23-01-2023,South,Georgia,Atlanta,Office Supplies,Appliances,60.69,26.29,7,Charles Williams,Consumer
23-01-2023,West,California,Los Angeles,Technology,Machines,710.03,340.47,2,John Smith,Corporate
23-01-2023,Central,Texas,Austin,Office Supplies,Appliances,45.62,20.08,1,Steven Taylor,Consumer
23-01-2023,South,Virginia,Virginia Beach,Furniture,Chairs,696.95,291.99,3,Andrew Thomas,Home Office
23-01-2023,East,Massachusetts,Boston,Furniture,Bookcases,557.21,127.25,2,Jane Martin,Home Office
23-01-2023,Central,Indiana,Indianapolis,Office Supplies,Envelopes,369.46,77.11,4,Richard Rodriguez,Consumer
24-01-2023,Central,Michigan,Grand Rapids,Technology,Copiers,2108.24,719.87,6,Mary Lopez,Home Office
24-01-2023,Central,Wisconsin,Green Bay,Office Supplies,Envelopes,161.67,75.46,5,Mary Taylor,Corporate
24-01-2023,East,New York,Rochester,Technology,Phones,954.8,418.54,1,John Davis,Consumer
24-01-2023,Central,Illinois,Chicago,Furniture,Tables,316.71,37.27,2,Anthony Williams,Corporate
24-01-2023,West,Arizona,Mesa,Technology,Phones,4139.77,545.22,7,Matthew Smith,Home Office
24-01-2023,South,Florida,Miami,Furniture,Chairs,4169.75,991.17,7,Mary Smith,Corporate
24-01-2023,East,Ohio,Columbus,Office Supplies,Appliances,69.74,22.19,4,William Miller,Corporate
24-01-2023,South,Virginia,Norfolk,Technology,Machines,2267.98,743.24,2,John Martin,Home Office
24-01-2023,South,North Carolina,Charlotte,Technology,Copiers,1190.51,139.53,3,Mark Anderson,Corporate
24-01-2023,West,Arizona,Mesa,Technology,Accessories,1008.57,-210.66,1,Daniel Rodriguez,Corporate
24-01-2023,South,Tennessee,Nashville,Office Supplies,Binders,263.97,28.26,2,Joshua Garcia,Corporate
25-01-2023,West,Arizona,Mesa,Furniture,Bookcases,301.43,-66.16,3,Steven Jones,Corporate
25-01-2023,South,Tennessee,Knoxville,Technology,Phones,559.8,215.95,2,Richard Brown,Home Office
25-01-2023,West,Arizona,Mesa,Office Supplies,Binders,250.4,71.09,4,Thomas Anderson,Corporate
25-01-2023,East,Pennsylvania,Philadelphia,Technology,Copiers,858.06,293.95,3,Matthew Jones,Corporate
25-01-2023,South,Virginia,Virginia Beach,Furniture,Tables,108.86,24.83,1,Steven Martin,Corporate
26-01-2023,West,Oregon,Eugene,Furniture,Furnishings,550.33,95.82,1,William Smith,Consumer
26-01-2023,South,North Carolina,Charlotte,Office Supplies,Paper,112.7,41.57,1,Thomas Jones,Corporate
26-01-2023,Central,Wisconsin,Madison,Technology,Phones,2161.37,877.89,3,John Taylor,Corporate
26-01-2023,South,Florida,Jacksonville,Technology,Copiers,4528.5,1017.75,4,David Williams,Corporate
26-01-2023,Central,Michigan,Detroit,Office Supplies,Envelopes,131.18,19.8,1,David Hernandez,Home Office
26-01-2023,South,Georgia,Columbus,Technology,Phones,359.71,145.69,1,Mark Anderson,Home Office
26-01-2023,South,Virginia,Virginia Beach,Furniture,Tables,768.3,349.16,3,John Jones,Consumer
26-01-2023,Central,Michigan,Detroit,Technology,Phones,1820.57,597.66,3,Anthony Gonzalez,Consumer
26-01-2023,Central,Texas,Austin,Technology,Copiers,3485.25,1417.89,5,Paul Jackson,Consumer
26-01-2023,Central,Michigan,Grand Rapids,Furniture,Tables,1674.72,744.72,4,John Lopez,Home Office
26-01-2023,Central,Wisconsin,Green Bay,Furniture,Tables,449.75,72.99,4,Jane Williams,Corporate
26-01-2023,East,New Jersey,Paterson,Technology,Machines,3971.05,1716.45,5,Robert Smith,Home Office
26-01-2023,West,Arizona,Mesa,Office Supplies,Appliances,51.67,16.2,2,Anthony Williams,Home Office
26-01-2023,Central,Illinois,Naperville,Furniture,Chairs,640.41,283.98,2,Charles Miller,Corporate
26-01-2023,Central,Indiana,Indianapolis,Office Supplies,Art,570.47,-60.81,4,Andrew Moore,Consumer
27-01-2023,South,Florida,Jacksonville,Furniture,Bookcases,498.18,222.58,2,Robert Moore,Corporate
27-01-2023,South,North Carolina,Charlotte,Technology,Machines,311.78,119.74,5,Joseph Smith,Corporate
27-01-2023,West,Oregon,Eugene,Furniture,Chairs,272.08,117.9,2,Mary Anderson,Consumer
27-01-2023,East,New York,New York City,Office Supplies,Storage,112.14,-22.01,3,Robert Moore,Consumer
27-01-2023,West,Arizona,Tucson,Furniture,Tables,888.62,143.35,2,Andrew Taylor,Corporate
27-01-2023,West,California,San Francisco,Furniture,Furnishings,889.38,-87.63,2,Mary Hernandez,Consumer
27-01-2023,West,Oregon,Salem,Office Supplies,Binders,212.4,-38.41,2,John Taylor,Home Office
27-01-2023,Central,Michigan,Warren,Office Supplies,Paper,119.71,-19.32,1,Anthony Johnson,Corporate
27-01-2023,South,North Carolina,Greensboro,Technology,Machines,1838.29,208.95,3,Anthony Anderson,Consumer
27-01-2023,East,New York,Rochester,Technology,Phones,6293.07,1325.16,6,David Johnson,Home Office
27-01-2023,East,New Jersey,Jersey City,Office Supplies,Art,472.79,160.88,5,Christopher Jones,Corporate
27-01-2023,Central,Illinois,Naperville,Furniture,Tables,533.38,114.77,1,Andrew Moore,Consumer
27-01-2023,East,Pennsylvania,Philadelphia,Office Supplies,Appliances,77.88,22.66,3,William Brown,Home Office
27-01-2023,South,Tennessee,Nashville,Office Supplies,Paper,185.41,42.58,3,Donald Lopez,Consumer
27-01-2023,East,New York,Rochester,Office Supplies,Paper,675.02,276.13,6,Paul Wilson,Corporate
27-01-2023,South,Florida,Tampa,Technology,Copiers,3462.94,797.55,4,Thomas Jones,Corporate
28-01-2023,East,Massachusetts,Boston,Furniture,Chairs,100.12,12.47,2,Anthony Taylor,Corporate
